Student Name,Class 1,Professor 1,Class Time 1,Class 2,Professor 2,Class Time 2,Class 3,Professor 3,Class Time 3,Class 4,Professor 4,Class Time 4,Class 5,Professor 5,Class Time 5
Charlotte Taylor,BIO 258,Dr. Linda Clark,"F, 3:10-4:00",PSYCH 113,Dr. Linda Clark,"TT, 10:45-12:00",SOC 244,Dr. Mark Johnson,"TT, 10:45-12:00",BIO 246,Dr. Ann Roberts,"TT, 1:45-3:00",BIO 288,Dr. John Smith,"TT, 10:45-12:00"
Michael Taylor,CSE 149,Dr. Sarah Martin,"TT, 1:45-3:00",ENG 292,Dr. Thomas Green,"TT, 9:00-10:15",BIO 153,Dr. Linda Clark,"MW, 2:00-3:15",BIO 151,Dr. Ann Roberts,"MW, 9:00-10:15",ENG 141,Dr. Linda Clark,"MW, 12:10-1:25"
Lucas Adams,ENG 221,Dr. Laura Adams,"MW, 2:00-3:15",ENG 269,Dr. Mark Johnson,"TT, 1:45-3:00",HIST 191,Dr. Thomas Green,"MW, 1:10-2:25",PSYCH 165,Dr. Paul Wilson,"MW, 9:00-10:15",MATH 106,Dr. Linda Clark,"F, 9:00-9:50"
Lucas Thompson,CSE 258,Dr. Emily Carter,"MW, 1:10-2:25",HIST 275,Dr. Ann Roberts,"TT, 9:00-10:15",ECON 143,Dr. Ann Roberts,"TT, 10:45-12:00",PHIL 104,Dr. Mark Johnson,"MW, 1:10-2:25",PSYCH 108,Dr. Mark Johnson,"MW, 12:10-1:25"
Emma Garcia,CSE 138,Dr. John Smith,"MW, 12:10-1:25",ENG 294,Dr. Linda Clark,"TT, 3:30-4:45",BIO 204,Dr. Thomas Green,"MW, 9:00-10:15",MATH 297,Dr. Paul Wilson,"TT, 9:00-10:15",HIST 151,Dr. Laura Adams,"MW, 12:10-1:25"
Emily Clark,ENG 165,Dr. Laura Adams,"F, 3:10-4:00",ECON 256,Dr. Ann Roberts,"TT, 9:00-10:15",CSE 196,Dr. Emily Carter,"TT, 3:30-4:45",SOC 257,Dr. Sarah Martin,"MW, 9:00-10:15",PHIL 198,Dr. Laura Adams,"F, 3:10-4:00"
Emily Taylor,ENG 140,Dr. Ann Roberts,"MW, 1:10-2:25",BIO 137,Dr. John Smith,"F, 9:00-9:50",MATH 213,Dr. Emily Carter,"TT, 1:45-3:00",MATH 176,Dr. Linda Clark,"MW, 12:10-1:25",BIO 293,Dr. Linda Clark,"MW, 1:10-2:25"
Alex Adams,ENG 196,Dr. Bill Stevens,"MW, 1:10-2:25",HIST 290,Dr. Linda Clark,"TT, 3:30-4:45",HIST 177,Dr. John Smith,"TT, 3:30-4:45",CSE 106,Dr. Paul Wilson,"TT, 9:00-10:15",ECON 102,Dr. Emily Carter,"TT, 3:30-4:45"
Mia Lee,BIO 122,Dr. Bill Stevens,"TT, 10:45-12:00",BIO 107,Dr. Ann Roberts,"MW, 1:10-2:25",ECON 181,Dr. Sarah Martin,"F, 9:00-9:50",PHIL 116,Dr. Mark Johnson,"MW, 9:00-10:15",BIO 263,Dr. Ann Roberts,"MW, 1:10-2:25"
Ethan Davis,SOC 114,Dr. Laura Adams,"TT, 9:00-10:15",PSYCH 297,Dr. Emily Carter,"TT, 10:45-12:00",ENG 132,Dr. Mark Johnson,"F, 9:00-9:50",ECON 169,Dr. Paul Wilson,"TT, 1:45-3:00",PSYCH 254,Dr. Sarah Martin,"MW, 12:10-1:25"
